original,asc,desc
-8215,-9913,9983
5479,-9903,9961
3092,-9894,9941
-1222,-9892,9934
-1340,-9891,9923
7172,-9870,9892
-8282,-9859,9854
3948,-9853,9848
-5971,-9843,9828
-8117,-9802,9794
530,-9759,9733
9513,-9754,9689
4715,-9722,9655
5223,-9709,9605
4350,-9685,9601
5722,-9644,9601
265,-9641,9592
-7438,-9610,9513
6795,-9578,9504
-992,-9568,9469
7,-9558,9463
-2584,-9546,9437
-6349,-9544,9430
8536,-9521,9414
5632,-9503,9388
2877,-9498,9387
-1952,-9420,9384
6456,-9384,9367
909,-9362,9364
-1132,-9353,9351
-991,-9307,9340
-5455,-9298,9325
-8158,-9279,9265
1092,-9277,9264
7758,-9255,9253
-8724,-9252,9238
7166,-9197,9236
6553,-9168,9226
-4465,-9153,9210
2633,-9136,9206
-6696,-9131,9199
5162,-9124,9194
4011,-9117,9183
-2910,-9105,9178
-8642,-9102,9172
9414,-9015,9113
-1086,-8998,9076
7863,-8967,9058
3559,-8961,9051
5568,-8940,9024
5198,-8933,8983
-6108,-8910,8982
-2722,-8893,8978
-666,-8856,8977
-44,-8834,8957
-9124,-8778,8955
931,-8724,8921
-6915,-8701,8921
4868,-8669,8812
3661,-8648,8807
8451,-8642,8776
4895,-8596,8761
-2667,-8551,8757
9351,-8474,8737
-1783,-8416,8723
-3484,-8415,8723
8111,-8383,8721
-2591,-8346,8719
-8474,-8313,8688
-609,-8312,8665
5914,-8311,8661
-6211,-8282,8628
-741,-8280,8625
-7402,-8275,8556
3730,-8247,8552
-486,-8246,8550
-3396,-8215,8536
-5462,-8199,8530
1290,-8198,8517
3396,-8192,8503
8807,-8189,8497
-1257,-8182,8497
-6787,-8166,8468
6654,-8158,8451
2595,-8134,8433
4006,-8132,8420
-8056,-8117,8410
-3753,-8111,8403
5357,-8107,8379
6646,-8099,8369
-1296,-8098,8353
6096,-8096,8327
6834,-8087,8321
-2251,-8073,8306
7962,-8056,8275
-4234,-8018,8213
-5209,-8001,8189
3650,-7967,8172
2735,-7932,8111
-7205,-7895,8111
6655,-7882,8053
-6002,-7878,8052
6098,-7872,8013
-9853,-7866,7968
5937,-7846,7962
5739,-7829,7941
5608,-7818,7924
3297,-7789,7871
-569,-7726,7869
4104,-7726,7863
-4458,-7710,7839
5615,-7691,7834
1113,-7681,7816
-822,-7658,7783
112,-7640,7758
1375,-7631,7726
-9255,-7623,7683
-7204,-7622,7633
-5091,-7616,7584
-7710,-7606,7559
-1208,-7596,7500
3368,-7564,7492
3089,-7562,7454
-578,-7546,7355
7102,-7545,7350
1305,-7525,7287
-8416,-7502,7269
5300,-7475,7215
1492,-7449,7172
2695,-7442,7166
1308,-7438,7152
1072,-7414,7133
-8189,-7414,7114
1184,-7402,7102
5899,-7379,7087
-3921,-7364,7084
2057,-7358,7068
-9384,-7356,7023
-3050,-7318,7023
-1266,-7309,7011
9655,-7270,6996
-5709,-7252,6989
-4469,-7218,6972
-1830,-7205,6940
9854,-7205,6927
7068,-7204,6923
-9307,-7202,6913
-5321,-7196,6901
6434,-7195,6872
-8834,-7194,6834
7114,-7175,6817
-4373,-7140,6816
8353,-7123,6803
-4128,-7122,6795
-1314,-7110,6760
3238,-7098,6743
-7475,-7077,6738
1141,-7045,6674
100,-7042,6670
5678,-7036,6655
9923,-7032,6654
3286,-6970,6646
-1816,-6970,6623
-1872,-6954,6620
-1641,-6935,6596
6281,-6931,6589
-3576,-6928,6565
-6661,-6915,6553
-3314,-6896,6526
-9546,-6883,6521
-7878,-6874,6519
-8199,-6848,6508
5431,-6842,6494
4447,-6787,6456
3936,-6780,6434
-762,-6775,6400
4341,-6708,6396
-6775,-6698,6343
8013,-6696,6332
21,-6690,6281
8761,-6681,6267
-6954,-6676,6174
-53,-6661,6167
3927,-6646,6165
-87,-6612,6152
-1077,-6588,6098
-6676,-6575,6096
-2380,-6538,6088
-5225,-6515,6088
-3970,-6507,6083
3674,-6497,6062
2606,-6480,6041
2144,-6466,6030
-2764,-6465,6020
9194,-6415,6018
-8247,-6411,6014
-3148,-6386,5985
-7640,-6371,5937
-3221,-6370,5937
9238,-6349,5914
-2675,-6342,5905
8172,-6330,5903
-99,-6236,5899
3994,-6211,5870
-852,-6154,5855
-4683,-6139,5853
5285,-6108,5780
9384,-6104,5749
-4730,-6072,5739
5575,-6061,5738
-4777,-6036,5722
4338,-6005,5719
5780,-6002,5712
-1013,-5971,5696
4739,-5965,5683
-4555,-5953,5682
-8415,-5953,5678
-8073,-5952,5655
-1060,-5946,5653
8052,-5835,5632
-7449,-5709,5626
-885,-5648,5615
4081,-5618,5608
-5953,-5532,5606
4433,-5488,5590
-3881,-5462,5580
6174,-5455,5575
1584,-5439,5568
938,-5407,5560
-6465,-5396,5548
-736,-5349,5536
7133,-5347,5487
-9610,-5321,5479
5171,-5291,5442
-145,-5286,5441
4389,-5271,5431
3266,-5267,5406
-1358,-5265,5405
-3827,-5229,5373
2546,-5225,5357
-7196,-5209,5326
1682,-5203,5324
-8107,-5184,5303
2997,-5181,5300
2575,-5123,5285
-8312,-5103,5279
5150,-5091,5251
-1684,-5082,5223
5738,-5075,5198
-9168,-5043,5171
-6411,-5034,5162
-120,-5012,5150
-6236,-5004,5067
-3403,-4990,4989
3212,-4933,4977
-7110,-4911,4972
3554,-4881,4936
-7932,-4850,4935
-6497,-4777,4921
1753,-4751,4904
5870,-4730,4895
-6588,-4683,4868
-4000,-4671,4781
8503,-4661,4780
9794,-4626,4767
1621,-4590,4765
-1059,-4585,4765
-3063,-4581,4750
2249,-4555,4739
1818,-4519,4739
-4105,-4483,4733
-9544,-4469,4721
-6970,-4465,4715
9172,-4458,4698
-1637,-4439,4693
-354,-4414,4611
-658,-4390,4606
5655,-4376,4594
-8701,-4373,4576
-8346,-4355,4555
-4483,-4322,4540
-267,-4309,4515
3423,-4306,4469
-186,-4271,4467
-1177,-4244,4452
8757,-4242,4447
-6780,-4237,4437
1435,-4234,4433
845,-4222,4425
-530,-4203,4399
6152,-4182,4389
-4661,-4128,4355
9076,-4105,4350
-3369,-4093,4341
900,-4069,4338
413,-4063,4308
6996,-4027,4198
-1222,-4024,4192
-4309,-4000,4181
-9568,-3981,4104
-2727,-3973,4081
6526,-3970,4040
-9802,-3962,4011
7924,-3957,4006
857,-3921,3996
-7195,-3906,3994
-3957,-3881,3963
1081,-3827,3948
-3686,-3801,3948
-7829,-3794,3936
3320,-3793,3927
3445,-3753,3896
-7623,-3740,3885
-4376,-3725,3818
-5123,-3711,3788
3189,-3692,3730
4606,-3686,3723
4540,-3682,3722
8776,-3676,3715
5373,-3659,3690
-3587,-3657,3674
-7846,-3640,3661
2293,-3626,3650
8321,-3592,3615
9504,-3587,3614
-5396,-3586,3586
-5271,-3576,3559
-9252,-3539,3554
-7175,-3484,3553
1097,-3450,3445
936,-3433,3425
-2582,-3403,3423
-3801,-3396,3417
6596,-3369,3396
-799,-3327,3383
6165,-3315,3368
9265,-3314,3320
-3657,-3288,3315
-5946,-3235,3314
9058,-3221,3297
2697,-3148,3286
-4182,-3146,3271
2437,-3063,3266
301,-3050,3257
8111,-2983,3238
-4881,-2910,3233
9828,-2843,3212
8721,-2787,3189
-6386,-2784,3157
-6708,-2764,3126
663,-2727,3092
-9102,-2722,3089
-4024,-2716,3052
-1298,-2675,3049
9388,-2672,3039
9848,-2667,3039
-6970,-2656,3003
7834,-2650,2997
-8182,-2591,2985
4972,-2584,2959
6913,-2582,2877
7816,-2577,2851
-5532,-2528,2850
7869,-2527,2791
-7681,-2516,2742
377,-2473,2735
-609,-2473,2728
-3682,-2411,2725
-9558,-2400,2697
5441,-2380,2695
-3288,-2334,2693
3233,-2298,2690
-1796,-2251,2686
-2527,-2182,2680
7726,-2127,2658
-8111,-2049,2633
4733,-1984,2606
4936,-1952,2600
-2400,-1919,2595
-4751,-1918,2575
-9894,-1872,2557
8737,-1866,2546
8955,-1830,2520
-5181,-1824,2466
-9362,-1816,2438
-7545,-1796,2437
-8648,-1783,2333
6623,-1769,2326
7839,-1764,2326
-6935,-1749,2323
4935,-1684,2294
-6415,-1675,2293
-2656,-1662,2288
1988,-1659,2254
4399,-1641,2249
7492,-1637,2231
-9105,-1633,2220
-6072,-1632,2144
-4390,-1628,2120
-3794,-1618,2119
9961,-1524,2084
5548,-1482,2062
-3592,-1442,2057
9437,-1415,2032
-14,-1374,1992
15,-1372,1988
-1326,-1358,1971
-7122,-1358,1949
8688,-1340,1939
-9722,-1328,1921
-6515,-1326,1889
-5407,-1323,1874
-4414,-1322,1839
-7364,-1314,1823
-9641,-1298,1818
3553,-1296,1802
9387,-1266,1794
-7564,-1257,1766
-4069,-1242,1765
127,-1222,1753
8550,-1222,1743
3885,-1208,1682
5324,-1177,1622
1622,-1154,1621
-1659,-1147,1616
-6005,-1132,1587
7287,-1096,1584
6083,-1086,1560
-9498,-1077,1548
4308,-1069,1492
-8313,-1069,1449
4780,-1060,1449
6519,-1059,1448
-7379,-1024,1435
-1323,-1013,1425
-7525,-992,1375
1346,-991,1346
8552,-934,1316
-8383,-922,1308
-2049,-914,1305
9463,-887,1299
-3981,-885,1290
-7356,-876,1184
-228,-852,1141
167,-829,1113
3257,-829,1104
-3725,-822,1100
9113,-821,1097
420,-799,1092
-4271,-790,1081
9206,-767,1072
8497,-762,1061
-17,-744,1060
-9503,-741,983
1939,-740,965
1104,-736,941
-7036,-680,938
2680,-666,936
6816,-658,931
-7882,-652,909
4467,-609,900
-7194,-609,898
4977,-578,890
-1618,-569,860
-9870,-530,857
9325,-517,845
-6681,-517,825
1921,-492,806
-6371,-486,797
8661,-481,751
4767,-455,730
6088,-442,721
-1358,-437,709
-652,-413,663
2686,-382,654
5696,-354,644
6940,-267,620
-9644,-236,615
3271,-228,593
-7818,-215,530
-4242,-186,528
6589,-157,475
-4990,-145,465
5937,-138,453
-740,-120,451
-5347,-99,420
-3315,-87,413
615,-53,411
5303,-44,377
2120,-17,354
8665,-14,320
7355,7,311
5067,15,301
2062,21,284
-4203,66,265
-1749,91,255
-7622,91,186
-2516,100,167
8530,101,167
-1482,112,127
-7726,127,112
3039,167,101
9253,167,100
7350,186,91
-4519,255,91
-922,265,66
620,284,21
-5043,301,15
-4626,311,7
-5267,320,-14
9892,354,-17
4921,377,-44
6817,411,-53
6332,413,-87
9183,420,-99
-7895,451,-120
7633,453,-138
-8669,465,-145
-492,475,-157
1889,528,-186
-2843,530,-215
-7077,593,-228
-6154,615,-236
6494,620,-267
-3626,644,-354
-3793,654,-382
8468,663,-413
-7123,709,-437
8306,721,-442
8420,730,-455
1971,751,-481
-6690,797,-486
-6883,806,-492
-4306,825,-517
1548,845,-517
-6928,857,-530
-887,860,-569
-7691,890,-578
806,898,-609
-9578,900,-609
4181,909,-652
-8893,931,-658
-6104,936,-666
-6507,938,-680
6620,941,-736
-8933,965,-740
-1415,983,-741
1823,1060,-744
320,1061,-762
3614,1072,-767
6062,1081,-790
-2127,1092,-799
6565,1097,-821
-3640,1100,-822
9689,1104,-829
91,1113,-829
4721,1141,-852
7500,1184,-876
5853,1290,-885
7023,1299,-887
730,1305,-914
-9131,1308,-922
-138,1316,-934
-6370,1346,-991
7783,1375,-992
-5265,1425,-1013
-5439,1435,-1024
-5012,1448,-1059
2851,1449,-1060
1425,1449,-1069
8977,1492,-1069
-1675,1548,-1077
-4355,1560,-1086
-9015,1584,-1096
-9859,1587,-1132
-2528,1616,-1147
8517,1621,-1154
475,1622,-1177
7871,1682,-1208
-7967,1743,-1222
-8134,1753,-1222
6670,1765,-1242
-7866,1766,-1257
-8961,1794,-1266
-1918,1802,-1296
